Battery,Car_name,Car_name_link,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
118.0,Lucid Air Dr,https://ev-d,177,840.0,218000.0,665,270,2.7
107.0,Volvo EX90 T,https://ev-d,230,610.0,105550.0,465,180,5.9
66.5,Mercedes EQA,https://ev-d,164,580.0,50777.0,405,160,8.6
90.0,Mercedes EQV,https://ev-d,290,310.0,71626.0,310,160,12.1
70.5,NIO ET7 75 k,https://ev-d,176,540.0,81900.0,400,200,3.8
91.0,Ford Mustang,https://ev-d,204,390.0,65900.0,445,180,5.8
52.0,Volkswagen I,https://ev-d,182,360.0,40335.0,285,160,9.0
123.0,VinFast VF 9,https://ev-d,237,520.0,89790.0,520,200,6.5
90.0,NIO ET5 100 ,https://ev-d,180,520.0,68500.0,500,200,4.0
77.0,Skoda Enyaq ,https://ev-d,175,660.0,51150.0,440,180,6.6
93.1,XPENG G9 RWD,https://ev-d,190,1020.0,0.0,490,200,6.4
79.0,Volvo C40 Re,https://ev-d,198,600.0,61400.0,400,180,4.7
75.0,Fisker Ocean,https://ev-d,197,480.0,41560.0,380,160,7.4
96.0,Mercedes EQE,https://ev-d,211,630.0,99841.0,455,210,4.9
49.0,Mini Cooper ,https://ev-d,158,440.0,36900.0,310,170,6.7
72.6,Ford Mustang,https://ev-d,191,460.0,55800.0,380,180,7.3
79.0,Volvo C40 Re,https://ev-d,188,630.0,54450.0,420,180,7.3
84.7,Jaguar I-Pac,https://ev-d,223,360.0,92400.0,380,200,4.8
77.0,Skoda Enyaq ,https://ev-d,169,680.0,63300.0,455,180,5.5
82.7,XPENG P7 Win,https://ev-d,178,650.0,0.0,465,200,4.1
106.5,Fisker Ocean,https://ev-d,201,630.0,69950.0,530,205,3.9
89.0,Mercedes EQE,https://ev-d,170,660.0,67187.0,525,210,7.3
28.5,Honda e Adva,https://ev-d,168,180.0,39900.0,170,145,8.3
109.0,Lotus Eletre,https://ev-d,240,950.0,150990.0,455,260,2.9
62.0,Smart #3 Bra,https://ev-d,188,510.0,50990.0,330,180,3.7
50.8,Peugeot e-30,https://ev-d,169,450.0,45765.0,300,150,9.0
89.0,Mercedes EQE,https://ev-d,209,540.0,0.0,425,210,6.6
108.4,Mercedes EQS,https://ev-d,217,750.0,110801.0,500,210,6.7
44.9,BYD DOLPHIN ,https://ev-d,176,260.0,32740.0,255,160,8.0
48.1,Opel Corsa E,https://ev-d,153,490.0,38045.0,315,150,8.1
56.0,SsangYong Ko,https://ev-d,193,330.0,40490.0,290,156,8.5
77.0,Volkswagen I,https://ev-d,181,630.0,49020.0,425,180,6.6
66.5,Mercedes EQA,https://ev-d,190,500.0,0.0,350,160,6.0
40.0,Renault Mega,https://ev-d,154,370.0,42000.0,260,150,10.0
47.0,Smart #1 Pro,https://ev-d,184,330.0,37490.0,255,180,6.7
50.8,Citroen e-C4,https://ev-d,154,470.0,41540.0,330,150,10.0
92.0,Lucid Air To,https://ev-d,159,970.0,129000.0,580,250,3.2
77.0,CUPRA Tavasc,https://ev-d,171,670.0,0.0,450,180,6.8
107.0,Volvo EX90 T,https://ev-d,238,590.0,110650.0,450,180,4.9
46.3,Peugeot e-20,https://ev-d,171,430.0,0.0,270,150,9.9
77.0,Volkswagen I,https://ev-d,183,630.0,53255.0,420,180,5.4
66.5,Mercedes EQA,https://ev-d,187,510.0,56424.0,355,160,6.0
77.0,Skoda Enyaq ,https://ev-d,164,700.0,53400.0,470,180,6.6
70.5,Mercedes EQA,https://ev-d,164,600.0,52205.0,430,160,8.6
74.0,Genesis GV60,https://ev-d,190,1020.0,0.0,390,185,7.8
108.4,Mercedes EQS,https://ev-d,184,880.0,141705.0,590,210,4.3
45.0,Renault Kang,https://ev-d,205,230.0,39300.0,220,132,12.6
48.1,Peugeot e-20,https://ev-d,155,480.0,36775.0,310,150,8.2
60.0,Aiways U5,https://ev-d,190,380.0,39563.0,315,150,7.5
